iter	RMSE
0	15.72270712
1	14.9658797
2	14.1510036
3	13.49654794
4	12.91498792
5	12.41131768
6	11.91535926
7	11.31550459
8	10.89874084
9	10.42378468
10	9.985403728
11	9.690414491
12	9.32195987
13	8.981250418
14	8.639080688
15	8.363415581
16	8.050945031
17	7.807801405
18	7.558293905
19	7.390123549
20	7.178210033
21	6.993511908
22	6.806186965
23	6.635971434
24	6.457501355
25	6.303457953
26	6.153163397
27	6.035016879
28	5.907873696
29	5.797424901
30	5.677702783
31	5.567347221
32	5.453068615
33	5.368366385
34	5.263302771
35	5.184846708
36	5.111388455
37	5.050656037
38	4.983872426
39	4.912757484
40	4.866706125
41	4.810856551
42	4.744136201
43	4.70196238
44	4.651452234
45	4.606243715
46	4.552976009
47	4.519316561
48	4.471872589
49	4.436203883
50	4.409092075
51	4.377366494
52	4.330164428
53	4.278061427
54	4.232880436
55	4.170542575
56	4.142129807
57	4.098257488
58	4.064711416
59	4.036096705
60	4.002330155
61	3.963547565
62	3.931236087
63	3.900475213
64	3.876179104
65	3.852686949
66	3.829350205
67	3.814824079
68	3.800054968
69	3.787541115
70	3.772831007
71	3.762256583
72	3.743145415
73	3.722579534
74	3.704354045
75	3.669224144
76	3.663433059
77	3.649886075
78	3.626205064
79	3.612907534
80	3.608255521
81	3.600887014
82	3.575530594
83	3.5460645
84	3.522586467
85	3.518005616
86	3.476037736
87	3.436225127
88	3.423554378
89	3.419287471
90	3.414000565
91	3.394878303
92	3.371593594
93	3.365594651
94	3.361692067
95	3.341616046
96	3.324991462
97	3.322228526
98	3.286348356
99	3.240954437
