iter	Passed	Remaining
0	1	147
1	2	124
2	3	109
3	4	107
4	5	105
5	6	102
6	7	103
7	9	103
8	10	103
9	11	103
10	12	101
11	13	98
12	14	96
13	15	93
14	16	91
15	16	89
16	17	87
17	18	85
18	19	84
19	20	82
20	21	80
21	22	80
22	24	83
23	25	82
24	27	81
25	28	81
26	29	80
27	30	79
28	31	78
29	33	77
30	33	75
31	34	73
32	35	72
33	36	71
34	38	70
35	38	69
36	39	67
37	40	66
38	41	65
39	42	64
40	43	63
41	45	62
42	46	60
43	47	59
44	48	58
45	48	57
46	49	56
47	50	54
48	51	53
49	53	53
50	54	52
51	55	51
52	56	50
53	57	49
54	58	47
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	63	40
61	64	39
62	65	38
63	66	37
64	68	36
65	69	35
66	70	34
67	70	33
68	71	32
69	73	31
70	74	30
71	75	29
72	75	28
73	76	27
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	92	10
90	93	9
91	94	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
