iter	RMSE
0	16.24579324
1	15.99973424
2	15.73989173
3	15.51370601
4	15.29408225
5	15.10163271
6	14.91701423
7	14.71428246
8	14.51341898
9	14.30507489
10	14.08615733
11	13.8895494
12	13.68968373
13	13.52378266
14	13.30947459
15	13.13560423
16	12.92342854
17	12.72532922
18	12.51258924
19	12.35774516
20	12.20934931
21	12.05792198
22	11.89641466
23	11.74199166
24	11.55924135
25	11.3942765
26	11.23685086
27	11.10449737
28	10.94824313
29	10.82630752
30	10.6821585
31	10.55743897
32	10.43560887
33	10.31196965
34	10.18829128
35	10.04010518
36	9.951929907
37	9.826736962
38	9.704758146
39	9.582037233
40	9.461240053
41	9.360317151
42	9.269348977
43	9.164081666
44	9.05048021
45	8.955084213
46	8.856197128
47	8.771505476
48	8.666947087
49	8.571667458
50	8.494899426
51	8.413668379
52	8.326947585
53	8.241539699
54	8.174866895
55	8.082826193
56	7.993555548
57	7.908335002
58	7.825458555
59	7.752101734
60	7.687325143
61	7.634527456
62	7.565045162
63	7.513728889
64	7.437409184
65	7.369682202
66	7.308799079
67	7.250679607
68	7.19958289
69	7.149350056
70	7.111093541
71	7.049359125
72	7.005120167
73	6.955530703
74	6.891155627
75	6.848853856
76	6.795716608
77	6.747985468
78	6.710015229
79	6.673385595
80	6.621265373
81	6.562984517
82	6.514743837
83	6.463279877
84	6.432752639
85	6.392108031
86	6.355704993
87	6.315789502
88	6.265939847
89	6.226342976
90	6.178824259
91	6.140200773
92	6.097279812
93	6.055040199
94	6.018670227
95	5.991870938
96	5.956404899
97	5.930939258
98	5.901036062
99	5.870172615
100	5.832458915
101	5.807108497
102	5.775062231
103	5.74435018
104	5.715515816
105	5.682393232
106	5.662031199
107	5.631419403
108	5.604351487
109	5.570715896
110	5.546578597
111	5.51735498
112	5.491740335
113	5.459146949
114	5.430475186
115	5.40292304
116	5.373007447
117	5.349146297
118	5.322806288
119	5.300689045
120	5.278187433
121	5.252633778
122	5.229676634
123	5.20618969
124	5.189799248
125	5.167851555
126	5.155548007
127	5.134395863
128	5.112772706
129	5.096224411
130	5.083233972
131	5.062253716
132	5.040634332
133	5.015262374
134	4.993502437
135	4.976205767
136	4.962209391
137	4.940503424
138	4.923177766
139	4.900989902
140	4.88179163
141	4.86210341
142	4.847392712
143	4.833199776
144	4.812690238
145	4.802056675
146	4.789098047
147	4.767109942
148	4.746906339
149	4.73836096
150	4.723859071
151	4.708371813
152	4.692482546
153	4.678433805
154	4.667607466
155	4.648089194
156	4.633743346
157	4.613053925
158	4.600397593
159	4.588317403
160	4.579384454
161	4.56785804
162	4.554473003
163	4.533602172
164	4.528136205
165	4.515773581
166	4.497407604
167	4.483005164
168	4.469740206
169	4.46680454
170	4.453488645
171	4.444631714
172	4.440669392
173	4.424116992
174	4.408466848
175	4.392442169
176	4.378542322
177	4.369246932
178	4.356141198
179	4.341493275
180	4.317987233
181	4.3066701
182	4.288780475
183	4.277787122
184	4.271466518
185	4.262611971
186	4.251314024
187	4.236392486
188	4.229827395
189	4.220026018
190	4.209619482
191	4.201694715
192	4.195068731
193	4.184950361
194	4.17810324
195	4.165832197
196	4.160237613
197	4.14038492
198	4.131237315
199	4.12567104
200	4.120987671
201	4.116754352
202	4.109403487
203	4.099914939
204	4.092586303
205	4.08377764
206	4.080459458
207	4.070563539
208	4.062957674
209	4.051389573
210	4.043136832
211	4.039383676
212	4.025856084
213	4.014330924
214	4.00784759
215	4.00449932
216	3.997684118
217	3.992172424
218	3.98023719
219	3.970916343
220	3.967642532
221	3.958710068
222	3.950285694
223	3.945625922
224	3.941048587
225	3.929275981
226	3.918003672
227	3.907427743
228	3.904011901
229	3.896767669
230	3.890531956
231	3.883763061
232	3.881523983
233	3.873290778
234	3.863862906
235	3.855756109
236	3.844320522
237	3.838518039
238	3.829834252
239	3.826048351
240	3.82293103
241	3.820723875
242	3.81604503
243	3.810086894
244	3.807754639
245	3.80589775
246	3.799427364
247	3.797096451
248	3.791189352
249	3.789195364
250	3.784758829
251	3.77555112
252	3.76741367
253	3.755259126
254	3.750124298
255	3.747725258
256	3.745424293
257	3.734014384
258	3.723050521
259	3.715734598
260	3.713696349
261	3.709235312
262	3.706668059
263	3.700787754
264	3.693556787
265	3.691337754
266	3.687071322
267	3.674171619
268	3.668998965
269	3.667144205
270	3.661570728
271	3.658681353
272	3.657179126
273	3.645253877
274	3.643417595
275	3.641784501
276	3.640132701
277	3.632424602
278	3.618274062
279	3.614337064
280	3.601289803
281	3.58858683
282	3.574559877
283	3.563655707
284	3.559517016
285	3.549066378
286	3.547485902
287	3.54521693
288	3.533187563
289	3.523128535
290	3.519929991
291	3.514718017
292	3.512581367
293	3.511062821
294	3.509671182
295	3.506427191
296	3.502886772
297	3.501670152
298	3.500217494
299	3.490238473
300	3.488912023
301	3.485174513
302	3.480537329
303	3.476711415
304	3.474754185
305	3.469264905
306	3.467331336
307	3.456597149
308	3.443545041
309	3.437789811
310	3.425405424
311	3.418286346
312	3.417104317
313	3.406698711
314	3.404313705
315	3.401106725
316	3.388784966
317	3.387075891
318	3.384118468
319	3.371848176
320	3.370753441
321	3.364925083
322	3.353885608
323	3.35225419
324	3.342831234
325	3.341795792
326	3.328560798
327	3.32694197
328	3.325938033
329	3.322446163
330	3.32027375
331	3.317036616
332	3.310302741
333	3.308466376
334	3.305427752
335	3.30225716
336	3.293626615
337	3.286428276
338	3.276071795
339	3.272011416
340	3.269624874
341	3.268498849
342	3.267072785
343	3.261623104
344	3.251918716
345	3.251082547
346	3.238117015
347	3.234955123
348	3.225151574
349	3.224032998
350	3.215806165
351	3.212904503
352	3.210231337
353	3.198308386
354	3.185815973
355	3.18276394
356	3.176426948
357	3.165429594
358	3.162609537
359	3.162061354
360	3.153025337
361	3.145405833
362	3.143491289
363	3.140925015
364	3.133088972
365	3.127182741
366	3.125581803
367	3.112083331
368	3.110266888
369	3.101166366
370	3.090851392
371	3.089074587
372	3.087726926
373	3.080016897
374	3.071666178
375	3.070105599
376	3.068604744
377	3.066610808
378	3.064044581
379	3.06141137
380	3.060841528
381	3.052569697
382	3.04295946
383	3.036425054
384	3.034022647
385	3.031488066
386	3.030942511
387	3.028532095
388	3.027426395
389	3.020011262
390	3.01257662
391	3.006299455
392	3.000247892
393	2.99191566
394	2.983012661
395	2.976544092
396	2.971657438
397	2.963911793
398	2.957124757
399	2.955648631
400	2.94985345
401	2.944869095
402	2.942650116
403	2.932485806
404	2.925936846
405	2.923962044
406	2.92296622
407	2.921301125
408	2.913859646
409	2.908901525
410	2.902227535
411	2.900606817
412	2.891228238
413	2.88868172
414	2.881674929
415	2.871317029
416	2.869184669
417	2.863044531
418	2.857279895
419	2.850400058
420	2.849595055
421	2.847484872
422	2.846954704
423	2.842587576
424	2.84051465
425	2.833800153
426	2.829570768
427	2.825929281
428	2.818118181
429	2.817512148
430	2.814902164
431	2.814139893
432	2.805710084
433	2.79580129
434	2.79429724
435	2.789761042
436	2.783908051
437	2.776006078
438	2.774225663
439	2.767365621
440	2.758333624
441	2.756982604
442	2.745619621
443	2.738830928
444	2.736043526
445	2.731542672
446	2.72910734
447	2.726209408
448	2.72005141
449	2.715467603
450	2.709172774
451	2.707383345
452	2.705806799
453	2.705371437
454	2.699182452
455	2.696523735
456	2.695910599
457	2.693241328
458	2.68792698
459	2.681092768
460	2.674836538
461	2.672843227
462	2.672401213
463	2.663128199
464	2.654601835
465	2.649294122
466	2.644917862
467	2.638650359
468	2.631328386
469	2.625441425
470	2.62385647
471	2.622293938
472	2.618355244
473	2.608545998
474	2.606231081
475	2.599306382
476	2.597734876
477	2.595656379
478	2.594188656
479	2.592334511
480	2.591073421
481	2.582943939
482	2.581469992
483	2.578004945
484	2.569067773
485	2.564831209
486	2.559899241
487	2.559313707
488	2.557874179
489	2.553952525
490	2.55331142
491	2.551005611
492	2.550109623
493	2.548224246
494	2.542575243
495	2.541622957
496	2.530047045
497	2.529243858
498	2.516955386
499	2.515438177
500	2.508716015
501	2.502770889
502	2.499867468
503	2.491301358
504	2.48689174
505	2.485428373
506	2.484354482
507	2.480855427
508	2.479161248
509	2.470763646
510	2.46908679
511	2.462394062
512	2.453776553
513	2.45128777
514	2.450030936
515	2.446559689
516	2.440569519
517	2.440045303
518	2.438095316
519	2.432269846
520	2.430794694
521	2.429967634
522	2.425570894
523	2.423684876
524	2.41890054
525	2.418022262
526	2.417631372
527	2.416686655
528	2.4151978
529	2.414258567
530	2.408493482
531	2.405224871
532	2.401014402
533	2.393059318
534	2.392245323
535	2.3916657
536	2.386862054
537	2.380406344
538	2.379585285
539	2.375220268
540	2.369807408
541	2.366331169
542	2.360821885
543	2.356394871
544	2.353107461
545	2.35223601
546	2.348618758
547	2.341109593
548	2.340199954
549	2.339015294
550	2.337736741
551	2.33249861
552	2.327501221
553	2.326167157
554	2.320217629
555	2.318919341
556	2.315753454
557	2.306900837
558	2.300110553
559	2.299848141
560	2.295378606
561	2.293957479
562	2.289039127
563	2.284871497
564	2.279987948
565	2.27587553
566	2.274552487
567	2.271793705
568	2.266907864
569	2.26644606
570	2.265730823
571	2.258954494
572	2.257328776
573	2.252890523
574	2.248313137
575	2.246695665
576	2.245334024
577	2.24418109
578	2.238764211
579	2.232680094
580	2.23226939
581	2.224804593
582	2.217588398
583	2.211222245
584	2.206700859
585	2.200277807
586	2.193396169
587	2.189997758
588	2.184656519
589	2.18388735
590	2.177328864
591	2.174054416
592	2.165512335
593	2.164703504
594	2.160312931
595	2.153432408
596	2.14989978
597	2.144834585
598	2.142163177
599	2.139240607
600	2.137915924
601	2.135775188
602	2.135030832
603	2.126819428
604	2.126457968
605	2.12046301
606	2.119105162
607	2.112964074
608	2.10544057
609	2.104282482
610	2.099528154
611	2.097127089
612	2.094496002
613	2.090073393
614	2.086463272
615	2.083504617
616	2.078876185
617	2.072154113
618	2.06747221
619	2.063339162
620	2.059396705
621	2.051870144
622	2.050753266
623	2.049524387
624	2.046630472
625	2.044205604
626	2.038394779
627	2.037308286
628	2.033271244
629	2.027582524
630	2.027377325
631	2.023089994
632	2.018630194
633	2.01576731
634	2.015401747
635	2.01105603
636	2.00887679
637	2.007517424
638	2.006395769
639	2.005751509
640	2.005086605
641	2.003202638
642	1.999234905
643	1.99625666
644	1.992056083
645	1.987945145
646	1.985244607
647	1.983601866
648	1.978999499
649	1.973560492
650	1.969728221
651	1.968453143
652	1.963271347
653	1.959393428
654	1.956822557
655	1.955487113
656	1.95207232
657	1.950154072
658	1.945729562
659	1.943397763
660	1.93763626
661	1.934253083
662	1.933364773
663	1.930729474
664	1.929828366
665	1.92915009
666	1.92588357
667	1.922233163
668	1.921266232
669	1.920917722
670	1.920008576
671	1.919380621
672	1.915536745
673	1.911832611
674	1.911239544
675	1.910031765
676	1.909868657
677	1.906264607
678	1.9024416
679	1.898493918
680	1.897445496
681	1.893460468
682	1.888327703
683	1.887413653
684	1.88378058
685	1.882895871
686	1.878291095
687	1.878165522
688	1.873618018
689	1.870601728
690	1.870449632
691	1.868990805
692	1.865696406
693	1.860883004
694	1.855419174
695	1.853193711
696	1.847668817
697	1.845109949
698	1.842459567
699	1.839532877
700	1.838714155
701	1.835089243
702	1.830815246
