iter	Passed	Remaining
0	243	243374
1	245	122427
2	245	81715
3	246	61327
4	246	49101
5	247	40946
6	247	35120
7	247	30749
8	248	27351
9	248	24631
10	249	22408
11	253	20864
12	254	19310
13	255	18008
14	256	16838
15	257	15808
16	257	14894
17	258	14083
18	258	13355
19	259	12699
20	259	12105
21	260	11594
22	263	11173
23	263	10723
24	268	10478
25	269	10094
26	270	9760
27	271	9425
28	272	9109
29	272	8814
30	273	8538
31	273	8279
32	274	8043
33	275	7813
34	275	7598
35	276	7393
36	278	7242
37	286	7241
38	288	7117
39	289	6953
40	290	6796
41	291	6639
42	291	6496
43	292	6362
44	295	6275
45	297	6160
46	297	6040
47	298	5923
48	299	5813
49	300	5707
50	301	5601
51	301	5504
52	311	5559
53	312	5475
54	313	5387
55	314	5296
56	314	5209
57	315	5127
58	316	5045
59	328	5147
60	329	5079
61	331	5019
62	332	4951
63	336	4914
64	338	4869
65	340	4816
66	341	4759
67	342	4694
68	343	4629
69	343	4565
70	344	4503
71	344	4443
72	345	4384
73	345	4327
74	352	4353
75	354	4309
76	355	4260
77	355	4208
78	356	4157
79	357	4107
80	357	4058
81	358	4010
82	358	3963
83	359	3917
84	359	3872
85	361	3846
86	362	3802
87	366	3794
88	367	3760
89	368	3728
90	369	3690
91	369	3651
92	370	3615
93	371	3578
94	371	3541
95	372	3505
96	372	3470
97	373	3435
98	373	3402
99	377	3395
100	379	3380
101	381	3358
102	382	3331
103	383	3300
104	383	3269
105	384	3239
106	384	3210
107	385	3182
108	385	3154
109	386	3126
110	386	3098
111	388	3079
112	389	3059
113	392	3054
114	394	3034
115	394	3009
116	395	2986
117	396	2961
118	396	2938
119	397	2914
120	397	2890
121	398	2868
122	399	2845
123	399	2822
124	400	2800
125	401	2787
126	402	2769
127	407	2774
128	408	2759
129	410	2748
130	411	2728
131	411	2708
132	412	2689
133	413	2669
134	413	2650
135	414	2633
136	415	2615
137	416	2598
138	417	2583
139	417	2565
140	418	2551
141	420	2540
142	421	2526
143	422	2509
144	423	2495
145	423	2479
146	424	2461
147	424	2444
148	425	2428
149	425	2410
150	425	2393
151	426	2377
152	426	2361
153	426	2345
154	427	2330
155	427	2314
156	428	2299
157	428	2284
158	429	2271
159	434	2282
160	437	2279
161	438	2265
162	438	2251
163	439	2238
164	439	2223
165	439	2210
166	440	2196
167	440	2183
168	441	2171
169	442	2161
170	444	2152
171	445	2143
172	445	2131
173	448	2127
174	448	2116
175	449	2104
176	450	2094
177	450	2082
178	451	2070
179	452	2059
180	468	2118
181	469	2108
182	471	2106
183	476	2114
184	478	2110
185	480	2100
186	480	2089
187	481	2079
188	482	2069
189	493	2103
190	494	2094
191	495	2084
192	496	2074
193	497	2067
194	499	2062
195	501	2056
196	504	2057
197	505	2048
198	506	2039
199	507	2031
200	508	2021
201	509	2011
202	575	2260
203	576	2250
204	584	2266
205	585	2256
206	588	2255
207	589	2244
208	590	2233
